Gear	price	Product Type
Canon 180mm	130000	Lense
Canon 17-40 L	400000	Lense
Canon 70-200 IS2	120000	Lense
Nikon 70-200 VR	76000	Lense
Canon 50 1.8	6400	Lense
Canon 85 1.2	120000	Lense
Nikon SB-910	30000	Speedlight
Canon 24-70	56000	Lense
Sigma 10-20	34000	Lense
Canon 100-400	85000	Lense
Nikon 24-70	85000	Lense
Canon 50mm 1.2	85000	Lense
Canon 16-35 L	110000	Lense
Canon 5d MK2	70000	Camera
Canon 7D	68000	Camera
Nikon D700	30000	Camera
Nikon 300 f4	75000	Lense
Sigma 150-500 C	66000	Lense
Nikon SB-800	24000	Speedlight
Canon 5d MK3	170000	Camera
Canon 580 EXII	40000	Speedlight
Nikon 14-24	110000	Lense
Nikon D7000	50000	Camera
Nikon 1.4 TC	30000	Lense
Tokina 11-16 C	34000	Lense
Sigma 70-200	65000	Lense
Tokina 12-24 DX	28000	Lense
Nikon 105 VR	75000	Lense
Nikon 70-200 VR2	140000	Lense
Canon 70-200 L	80000	Lense
Tokina 100 mm	28000	Lense
Nikon 85 1.4	95000	Lense
Sigma 50-500	65000	Lense
metz 50 AF -1	12000	Speedlight
canon 400 f5.6	85000	Lense
Canon 100 L	63000	Canon 100 L
Nikon 70-300	24000	Lense
Nikon 50mm 1.8	9300	Lense
Tripod	27000	Accessories
32 Gb SD card	1200	Memory
77mm CPL	6000	Filters
Nikon D800	152000	Camera
Canon 24 1.4	140000	Lense
Tokina 11-16 N	34000	Lense
Canon 2X TC	28000	Teleconverter
Rokinon 8mm	15000	Lense
Canon 1.4 TC	29000	Teleconverter
YN 460 II	6500	Speedlight
Canon 430 EX II	22400	Speedlight
Dlite RX One	26500	Flash Head
Nikon 24-120 VR	48000	Lense
Nikon 16-35 F4	74000	Lense
16 GB Card	850	Accessories
CZ 1.4/35	82000	Lense
Canon Battery	2200	Accessories
Canon 400 DO IS	660000	Lense
Nikon D4	390000	Camera
Canon 24-105	48000	Lense
Nikon 200-400 VR2	590000	Lense
77mm Vari ND	7000	Filters
Nikon D800E	165000	Camera
Sigma 150 N	46000	Lense
Samyang 24 1.4 C	32500	Lense
3ft Slider	10000	Accessories
4ft Slider	14000	Accessories
LED Lights 5020	5900	Flash Head
Canon 500 mm IS2	590000	Lense
Canon 135 f2	65900	Lense
Apurture 7' Monitor	11000	Accessories
Apurture DSLR Rig	16000	Accessories
Nikon 35 1.8 DX	10500	Lense
Elinchrom FRX 400	34000	Flash Head
64 GB Card	9000	Accessories
Sekonic L-308S	39000	Light Meter
Zoom H4N	17700	Recorder
sigma 150-500 N	94000	Lense
Elinchrom FRX 200	24900	Flash Head
Canon 1D MK4	320000	Camera
Canon 300 f2.8 IS2	397000	Lense
Beike BK Gimbal Head	6300	Accessories
Reflector	1900	Accessories
Tamron 24-70	76000	Lense
Extra battery	2200	Accessories
Rode Mic	9500	Accessories
YN Triggers	7500	Accessories
Canon 24-105	49000	Lense
Tamron 24-70 N	68000	Lense
D800 Battery	2700	Accessories
Spyder 4	21900	Accessories
Nikon 18-105	17500	Lense
Nikon MB D12	21000	Accessories
Canon 6D	110000	Camera
Nikon battery	2700	Accessories
Card Reader	1700	Accessories
Monopod	5300	Accessories
Raynox DCR 250	6900	Lense
Ball Head	4500	Accessories
Simpex 966	3500	Speedlight
Sigma 35 1.4 C	64000	Lense
Go Pro	29000	Camera
Light Tent	6000	Accessories
77ND	2000	Filters
Canon 50 1.4	26500	Lense
Canon 600 RT	37000	Flash Head
Canon 24-70 II	131000	Lense
Time laps	2000	Accessories
Nikon D810	170000	Camera
Canon 15-85	47000	Lense
Nikon 600 F4	749000	Lense
GoPro monopod	1000	Accessories
Nikon D750	117000	Camera
Vanguard Video Head	8500	Accessories
LED Lights Stand	2000	Accessories
77 Blue Filter	4500	Filters
Kenko Extension Tube	5999	Accessories
GoPro Monitor	3900	Accessories
Video Head	5400	Accessories
Canon 55-250	12600	Lense
GoPro Boopar	450	Accessories
GoPro4	27000	Camera
Canon 7D MK2	129000	Camera
CP2 50 mm	260000	Lense
Glidecam HD4000	48000	Accessories
77 GND	4500	Filters
Body Mount	1500	Accessories
Head Band	450	Accessories
Cp2 21mm	300000	Lense
LED Lights 300	8000	Flash Head
Nikon 28-300 VR	64000	Lense
Gopro Bopper	450	Accessories
Nikon 18-55	9500	Lense
CP2 85 mm	336000	Lense
Nikon18-55	8900	Lense
CP2 35 mm	336000	Lense
Nikon 80-400 VR	94000	Lense
Nikon D7100	54500	Camera
Binocular	27000	Lense
Canon 100-400 IS2	149000	Lense
Canon 800mm	1155000	Lense
Sony A7s	119000	Camera
Sony NEX-FS100UK	110000	Camera
Sony alpha 7R	124000	Camera
Cancellation		Accessories
Gopro Timelaps	2500	Camera
Gopro Scene Laps	2500	Camera
Canon 50 1.8 STM	8600	Lense
Macro Ring Adapter	2700	Accessories
Canon 5Ds	216000	Camera
Octa	6500	Accessories
Beauty Dish	2500	Flash Head
Bueaty dish	2500	Flash Head
YN LED Lights	17000	Flash Head
Binacular	26000	Lense
Pentax 645 Z KIt	1502500	Combo
Elinchrom RX 1200	71000	Flash Head
Phase One IQ180 Kit	1940000	Combo
Apple Macbook	69000	Accessories
Canon 5DSR	226000	Camera
"Body,Head Mount"	850	Accessories
Canon 35 1.4	61000	Lense
Canon 1D X	455000	Camera
YN LED Lights	16000	Flash Head
Callar Mic	1500	Accessories
Gopro Arm	2400	Accessories
Bobber	450	Accessories
Phase one IQ180	1940000	Combo
Sigma 24-70	55000	Lense
Boya Mic	2600	Accessories
Nikon 200-500 VR	81000	Lense
Pentax With 55mm Lens	291000	Combo
8GB CF Card	850	Accessories
Sigma 50 1.4 N	59500	Lense
GoPro Body Mount	600	Accessories
GoPro Head Mount	600	Accessories
GoPro Hand Mount	200	Accessories
DJ 4K Camera	39000	Camera
67 to 77mm Step up Ring	1700	Accessories
Sigma 35 1.4 N	61000	Lense
Canon 70D	42000	Camera
Digi Flash	2000	Speedlight
Canon 65mm	65845	Lense
Cup	250	Accessories
Canon 5D MK4	235000	Camera
Azden WLX-PRO	18000	Accessories
Canon 7D	61000	Camera
Canon 400 F2.8	650000	Lense
Studio		Accessories
Nikon Df	145000	Camera
Elinchrom Master FRX	40500	Flash Head
Canon 17-40 L	44000	Lense
Nikon D500	131000	Camera
Chest mount	500	Accessories
Cokin GND Set	2270	Filters
Profoto B2	118000	Speedlight
Nikon 24-70	139000	Lense
DJ 4K Camera +	51000	Camera
Cutter	500	Accessories
Boom Stand	4500	Accessories
Studio Light		Accessories
Elinchrom 1000pro light	79800	Flash Head
