CardNumber,Model,Series Name,Seating,Type,Brand,Color,Price,Displacement_Type,Fuel Type,Mileage_type,Transmission Type,Airbags,Entertainment,ABS,Center Locking,Child Locking,Steering Adjustment,Keyless Start,Cruise Control,Parking Sensors,Rating
CRD1,Maruti Suzuki Alto 800 - LX,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,0,No,No,No,Yes,No,No,No,No,3.8
CRD2,Maruti Suzuki Alto 800 - LX,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,0,No,No,No,Yes,No,No,No,No,6.2
CRD3,Maruti Suzuki Alto 800 - LX,Maruti Alto Series,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,0,No,No,No,Yes,No,No,No,No,8.2
CRD4,Maruti Suzuki Alto 800 - VXI,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Black,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Manual,Yes,No,No,No,No,6
CRD5,Maruti Suzuki Alto 800 - VXI,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Color,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Manual,Yes,No,No,No,No,3
CRD6,Maruti Suzuki Alto 800 - VXI,Maruti Alto Series,Up to 5,Hatchback,Suzuki,White,Entry,Low,Petrol,Medium,Manual,0,Basic,No,Manual,Yes,No,No,No,No,8.1
CRD7,Maruti Suzuki Alto 800 - LXI CNG - O,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Black,Entry,Low,CNG,High,Manual,1,No,No,No,Yes,No,No,No,No,2.2
CRD8,Maruti Suzuki Alto 800 - LXI CNG - O,Maruti Alto Series,Up to 5,Hatchback,Suzuki,Color,Entry,Low,CNG,High,Manual,1,No,No,No,Yes,No,No,No,No,3
CRD9,Maruti Suzuki Alto 800 - LXI CNG - O,Maruti Alto Series,Up to 5,Hatchback,Suzuki,White,Entry,Low,CNG,High,Manual,1,No,No,No,Yes,No,No,No,No,6.1
CRD10,Maruti Baleno -Alpha 1.2,Maruti Baleno,Up to 5,Station Wagon,Suzuki,Black,Mid-Range,Medium,Petrol,Medium,Manual,2,Advanced,Yes,Remote,Yes,Tilt and Telescopic,Yes,No,Rear,5.1
