loanId,decision,isTier1,isRented,isMale,isSelfEmp,hasProofIncome,isMarried,isGrad,hasLoans,hasBankSavings,age,yrsAtAdd,yrsAtJob,monthlyExpenses,totalIncome,disposIncome,marketValHome,oldEMI,amntRequired,termRequired,downPayment,bankSavings,calcEMI,emiToTotInc,emiToDispInc,totEMItoTotInc,ltv,ltv_register,propDownPay,disposIncome_s,marketValHome_s,amntRequired_s,bankSavings_s,calcEMI_s,oldEMI_s
AJM-39R8-519413,0,0,0,0,1,0,1,1,1,0,31,25,4,13934,51090,37156,500000,7306,200000,84,300000,0,4087.159912,7.999921535,10.99999976,22.30017599,40,40,0.6,3.7156,0.5,2,0,0.408715991,0.7306
AJM-3A3Z-876970,0,0,0,0,0,1,1,0,1,0,41,2,15,9758,22386,12628,450704,2431,320000,180,130000,0,4924.810059,21.99950888,38.99912938,32.85897462,71.0000355,71,0.288888889,1.2628,0.450704,3.2,0,0.492481006,0.2431
AJM-7427-952085,1,0,0,0,1,1,1,0,0,0,51,9,8,11620,32536,20916,2777778,0,500000,84,557000,0,11712.96973,36.00002989,56.0000465,36.00002989,17.99999856,47,0.526963103,2.0916,2.777778,5,0,1.171296973,0
AJM-8ZTZ-979040,1,0,1,0,1,1,1,1,0,0,26,2,6,12557,41595,29038,1785714,0,1000000,180,666500,0,15390.04004,36.99973564,52.99965576,36.99973564,56.00000896,60,0.399939994,2.9038,1.785714,10,0,1.539004004,0
AJM-9SP2-614810,1,0,0,0,1,1,1,0,0,0,31,30,15,10537,37537,27000,1960784,0,1000000,180,151000,0,15390.04004,40.99965378,57.00014829,40.99965378,51.00000816,87,0.131190269,2.7,1.960784,10,0,1.539004004,0
AJM-080X-726261,1,0,0,1,1,0,1,0,0,0,43,16,15,6926,17314,10388,540000,0,135000,180,405000,0,2077.659912,11.99988398,20.00057674,11.99988398,25,25,0.75,1.0388,0.54,1.35,0,0.207765991,0
AJM-70DK-845211,1,0,0,0,1,0,1,0,0,0,32,6,20,5803,18167,12364,703704,0,380000,84,120000,0,8901.860352,49.00016707,71.99822348,49.00016707,53.99997726,76,0.24,1.2364,0.703704,3.8,0,0.890186035,0
AJM-D2PG-505694,0,0,0,1,1,1,1,0,0,0,35,8,5,7544,30177,22632,2000000,0,1000000,180,1000000,0,15390.04004,50.99923796,68.00123736,50.99923796,50,50,0.5,2.2632,2,10,0,1.539004004,0
AJM-KLH4-776161,1,0,0,0,0,1,1,0,1,0,56,15,34,9823,20927,11104,820833,4997,197000,60,471338,0,5440.930176,25.99957077,48.99973141,49.87781419,24.00000975,29,0.705238966,1.1104,0.820833,1.97,0,0.544093018,0.4997
AJM-9691-515520,1,0,1,0,1,1,0,0,0,0,29,15,15,6339,36450,30111,1323529,0,450000,180,50000,0,6925.52002,19.00005492,22.99996685,19.00005492,34.00001058,90,0.1,3.0111,1.323529,4.5,0,0.692552002,0
AJM-YI12-602023,1,0,0,0,1,0,1,0,0,0,25,24,10,11451,48094,36643,1515152,0,500000,180,200000,0,7695.02002,15.99995846,20.99997276,15.99995846,32.99998944,77,0.285714286,3.6643,1.515152,5,0,0.769502002,0
AJM-WL74-717154,1,0,0,0,0,0,1,0,1,0,41,15,7,10097,20195,10097,833333,3496,250000,84,250000,0,5856.490234,28.99970406,58.00228023,46.3109197,30.000012,68,0.5,1.0097,0.833333,2.5,0,0.585649023,0.3496
AJM-663N-804424,1,0,1,0,1,1,1,0,0,0,26,8,4,6587,23420,16833,673077,0,350000,180,150000,0,5386.52002,22.9996585,31.99976249,22.9996585,51.99999406,70,0.3,1.6833,0.673077,3.5,0,0.538652002,0
