Score1,Score2,Decision
34.62365962,78.02469282,HR
30.28671077,43.89499752,HR
35.84740877,72.90219803,HR
60.18259939,86.3085521,HR
79.03273605,75.34437644,LR
45.08327748,56.31637178,HR
61.10666454,96.51142588,MR
75.02474557,46.55401354,MR
76.0987867,87.42056972,LR
84.43281996,43.53339331,LR
95.86155507,38.22527806,LR
75.01365839,30.60326323,HR
82.30705337,76.4819633,LR
69.36458876,97.71869196,HR
39.53833914,76.03681085,HR
53.97105215,89.20735014,MR
69.07014406,52.74046973,MR
67.94685548,46.67857411,HR
70.66150955,92.92713789,HR
76.97878373,47.57596365,MR
67.37202755,42.83843832,HR
89.67677575,65.79936593,LR
50.53478829,48.85581153,HR
34.21206098,44.2095286,HR
77.92409145,68.97235999,LR
62.27101367,69.95445795,MR
80.19018075,44.82162893,LR
93.1143888,38.80067034,LR
61.83020602,50.25610789,HR
38.7858038,64.99568096,HR
61.37928945,72.80788731,MR
85.40451939,57.05198398,LR
52.10797973,63.12762377,HR
52.04540477,69.43286012,MR
40.23689374,71.16774802,HR
54.63510555,52.21388588,HR
33.91550011,98.86943574,MR
64.17698887,80.90806059,MR
74.78925296,41.57341523,HR
34.18364003,75.23772034,HR
83.90239366,56.30804622,LR
51.54772027,46.85629026,HR
94.44336777,65.56892161,LR
82.36875376,40.61825516,LR
51.04775177,45.82270146,HR
62.22267576,52.06099195,HR
77.19303493,70.4582,HR
97.77159928,86.72782233,LR
62.0730638,96.76882412,MR
91.5649745,88.69629255,HR
79.94481794,74.16311935,LR
99.27252693,60.999031,LR
90.54671411,43.39060181,LR
34.52451385,60.39634246,HR
50.28649612,49.80453881,HR
49.58667722,59.80895099,HR
97.64563396,68.86157272,HR
32.57720017,95.59854761,MR
74.24869137,69.82457123,MR
71.79646206,78.45356225,MR
75.39561147,85.75993667,LR
35.28611282,47.02051395,HR
56.2538175,39.26147251,HR
30.05882245,49.59297387,HR
44.66826172,66.45008615,HR
66.56089447,41.09209808,HR
40.45755098,97.53518549,MR
49.07256322,51.88321182,HR
80.27957401,92.11606081,LR
66.74671857,60.99139403,MR
32.72283304,43.30717306,HR
64.03932042,78.03168802,MR
72.34649423,96.22759297,MR
60.45788574,73.0949981,MR
58.84095622,75.85844831,MR
99.8278578,72.36925193,LR
47.26426911,88.475865,MR
50.4581598,75.80985953,MR
60.45555629,42.50840944,HR
82.22666158,42.71987854,HR
88.91389642,69.8037889,LR
94.83450672,45.6943068,LR
67.31925747,66.58935318,HR
57.23870632,59.51428198,HR
80.366756,90.9601479,LR
68.46852179,85.5943071,MR
42.07545454,78.844786,MR
75.47770201,90.424539,LR
78.63542435,96.64742717,LR
52.34800399,60.76950526,HR
94.09433113,77.15910509,LR
90.44855097,87.50879176,LR
55.48216114,35.57070347,HR
74.49269242,84.84513685,LR
89.84580671,45.35828361,LR
83.48916274,48.3802858,HR
42.26170081,87.10385094,MR
99.31500881,68.77540947,LR
55.34001756,64.93193801,MR
74.775893,89.5298129,LR
