DIST_NAME,AC_NAME,AC_TYPE,Name,Gender,Caste,Age,Party,Votes,POSITION,Polled,Electors,MLA.12,Party.12,,Match,cand,const,party,Criminal Case ,Education ,Total Assets,ser,ABBAS AHAMADMariyahu,Abbas AhmadMARIYAHU
Ballia,Sikanderpur,GEN,ZIAUDDIN RIZWI,M,GEN,51,SP,45988,2,164623,286805,JIAUDDIN RIJVI,SP,ZIAUDDIN RIZWISikanderpur,Ziyauddin RizviSIKANDERPUR,Ziyauddin Rizvi,SIKANDERPUR,SP,0,Graduate,22463063,NA,,
Balrampur,Tulsipur,GEN,ZEBA RIZWAN,F,GEN,33,INC,43637,2,197498,367415,ABDUL MASHHOOD KHAN,SP,ZEBA RIZWANTulsipur,Zeba RizwanTULSIPUR,Zeba Rizwan,TULSIPUR,INC,0,Post Graduate,357000,NA,,
Ghaziabad,Loni,GEN,ZAKIR ALI,M,GEN,38,BSP,70275,2,274588,456713,ZAKIR ALI,BSP,ZAKIR ALILoni,Zakir AliLONI,Zakir Ali,LONI,BSP,0,10th Pass,189750228,NA,,
Kushinagar,Kushinagar,GEN,ZAKIR ALI,M,GEN,72,NCP,1764,5,203581,354951,BRAMHASHANKAR TRIPATHI,SP,ZAKIR ALIKushinagar,Zakir AliKUSHINAGAR,Zakir Ali,KUSHINAGAR,NCP,0,Post Graduate,10588000,NA,,
Deoria,Pathardeva,GEN,ZAINUL ABEDIN,M,GEN,35,AIMIM,1820,5,191649,317739,SHAKIR ALI,SP,ZAINUL ABEDINPathardeva,Zainul AbedinPATHARDEVA,Zainul Abedin,PATHARDEVA,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,600000,NA,,
Sant Ravidas Nagar,Bhadohi,GEN,ZAHID BEG,M,GEN,52,SP,78414,2,239549,415458,JAHID BEG,SP,ZAHID BEGBhadohi,Zahid BegBHADOHI,Zahid Beg,BHADOHI,SP,3,12th Pass,14246039,NA,,
Aligarh,Aligarh,GEN,ZAFAR ALAM,M,GEN,72,SP,98312,2,246146,370237,ZAFAR ALAM,SP,ZAFAR ALAMAligarh,Zafar AlamALIGARH,Zafar Alam,ALIGARH,SP,0,Graduate,409469000,NA,,
Varanasi,Sevapuri,GEN,YUSUF,M,GEN,41,IEMC,1550,6,206534,318423,SURENDRA SINGH PATEL,SP,YUSUFSevapuri,YusufSEVAPURI,Yusuf,SEVAPURI,Ittehad-E-Millait Council,0,Graduate Professional,244399,NA,,
Muzaffarnagar,Budhana,GEN,YOGRAJ SINGH,M,GEN,44,RLD,23732,4,241134,359140,NAWAZISH ALAM KHAN,SP,YOGRAJ SINGHBudhana,Yograj SinghBUDHANA,Yograj Singh,BUDHANA,RLD,0,12th Pass,24794535,NA,,
Gorakhpur,Chillupar,GEN,YOGESH MANI TIWARI,M,GEN,28,NINSHAD,3241,4,220374,431450,RAJESH TRIPATHI,BSP,YOGESH MANI TIWARIChillupar,YogeshCHILLUPAR,Yogesh,CHILLUPAR,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,5835000,NA,HAKIM LAL BINDHandia,Hakim LalHANDIA
Kheri,LAKHIMPUR,GEN,YOGESH VERMA,M,GEN,43,BJP,122677,1,255740,393426,UTKARSH VERMA MADHUR,SP,YOGESH VERMALAKHIMPUR,Yogesh VermaLAKHIMPUR,Yogesh Verma,LAKHIMPUR,BJP,0,Post Graduate,9768938,NA,,
Meerut,Hastinapur ,SC,YOGESH VERMA,M,SC,48,BSP,63374,2,221872,326707,PRABHU DAYAL BALMIKI,SP,YOGESH VERMAHastinapur ,Yogesh VermaHASTINAPUR ,Yogesh Verma,HASTINAPUR ,BSP,5,12th Pass,26875816,1,,
Auraiya,Dibiyapur,GEN,YOGESH PRATAP SINGH,M,SC,27,BMUP,287,13,191626,309502,PRADEEP KUMAR,SP,YOGESH PRATAP SINGHDibiyapur,Yogesh Pratap SinghDIBIYAPUR,Yogesh Pratap Singh,DIBIYAPUR,Bahujan Mukti Party,0,Post Graduate,2435000,NA,,
Gonda,Colonelganj,GEN,YOGESH PRATAP SINGH,M,GEN,58,SP,54462,2,182497,314862,YOGESH PRATAP SINGH  'YOGESH BHAIYA',SP,YOGESH PRATAP SINGHColonelganj,Yogesh Pratap SinghCOLONELGANJ,Yogesh Pratap Singh,COLONELGANJ,SP,0,Graduate Professional,158954284,NA,,
Mathura,Mathura,GEN,YOGESH KUMAR,M,GEN,44,BSP,31168,3,253211,425749,PRADEEP MATHUR,INC,YOGESH KUMARMathura,Yogesh KumarMATHURA,Yogesh Kumar,MATHURA,BSP,2,Graduate,26268987,1,,
Bijnor,Noorpur,GEN,YOGESH URF TILLU TYAGI,M,GEN,45,RLD,2172,5,203116,303478,LOKENDRA SINGH,BJP,YOGESH URF TILLU TYAGINoorpur,Yogesh Kumar TyagiNOORPUR,Yogesh Kumar Tyagi,NOORPUR,RLD,0,8th Pass,4799392,NA,SATRUGHNA ALIAS SATRUGHAN SINGH NISHADPaniyara,Satrughan Alias Satrughan Singh NishadPANIYRA
Lucknow,LUCKNOW CANTT.,GEN,YOGESH DIXIT,M,GEN,55,BSP,26036,3,187581,368311,JAGDISH SONKAR,SP,YOGESH DIXITLUCKNOW CANTT.,Yogesh DixitLUCKNOW CANTT.,Yogesh Dixit,LUCKNOW CANTT.,BSP,0,Graduate Professional,125604612,NA,,
Baghpat,Baghpat,GEN,YOGESH DHAMA,M,GEN,41,BJP,92566,1,198678,301360,HEMLATA CHAUDHARY,BSP,YOGESH DHAMABaghpat,Yogesh DhamaBAGHPAT,Yogesh Dhama,BAGHPAT,BJP,1,Graduate,25476703,1,,
Mathura,Mant,GEN,YOGESH CHAUDHARY,M,GEN,44,RLD,65430,2,210696,316496,JAYANT CHAUDHARY,RLD,YOGESH CHAUDHARYMant,Yogesh ChaudharyMANT,Yogesh Chaudhary,MANT,RLD,0,Graduate,108409140,NA,,
Ghazipur,Ghazipur,GEN,YOGENDRA,M,SC,32,CPI(ML)(L),483,10,213646,338759,VIJAY KUMAR MISHRA,SP,YOGENDRAGhazipur,YogendraGHAZIPUR,Yogendra,GHAZIPUR,CPI(ML)(L),0,Graduate,5134,NA,,
Agra,Agra South,GEN,YOGENDRA UPADHYAYA,M,GEN,61,BJP,111882,1,217256,348912,YOGENDRA UPADHYAYA,BJP,YOGENDRA UPADHYAYAAgra South,Yogendra UpadhyayAGRA SOUTH,Yogendra Upadhyay,AGRA SOUTH,BJP,7,Post Graduate,18427155,1,AFZAAL KAUSARBiswan,Afzal KausarBISWAN
Hardoi,Sandila,GEN,YOGENDRA SINGH,M,GEN,28,CPI,1387,5,198651,334078,KUNWAR MAHABIR SINGH,SP,YOGENDRA SINGHSandila,Yogendra SinghSANDILA,Yogendra Singh,SANDILA,CPI,0,Graduate,690000,NA,,
Kanpur Dehat,Bhognipur,GEN,YOGENDRA PAL SINGH,M,GEN,75,SP,48181,3,212732,333056,YOGENDRA PAL SINGH,SP,YOGENDRA PAL SINGHBhognipur,Yogendra Pal SinghBHOGNIPUR,Yogendra Pal Singh,BHOGNIPUR,SP,0,Graduate Professional,9450347,NA,,
Kheri,DHAURAHRA,GEN,YESHPAL SINGH CHAUDHARI,M,GEN,59,SP,76456,2,221330,321722,SHAMSHER BAHADUR ALIAS SHEROOBHAIYA,BSP,YESHPAL SINGH CHAUDHARIDHAURAHRA,Yeshpal Singh ChaudharyDHAURAHRA,Yeshpal Singh Chaudhary,DHAURAHRA,SP,0,Graduate,42563627,NA,INDRAJEET KUMAR SINGH &QUOT;PATEL&QUOT;Shivpur,Indrajeet Kumar SinghSHIVPUR
Azamgarh,Nizamabad,GEN,YATINJAY RAJ,M,GEN,27,NCP,538,10,167478,303975,ALAMBADI,SP,YATINJAY RAJNizamabad,Yatinjay RajNIZAMABAD,Yatinjay Raj,NIZAMABAD,NCP,0,12th Pass,5000,NA,,
Gorakhpur,Sahajanwa,GEN,YASPAL SINGH RAWAT,M,GEN,40,SP,56836,2,209449,356165,RAJENDRA,BSP,YASPAL SINGH RAWATSahajanwa,Yaspal Singh RawatSAHAJANWA,Yaspal Singh Rawat,SAHAJANWA,SP,9,10th Pass,17299300,1,,
Meerut,Siwalkhas,GEN,YASHVEER SINGH,M,GEN,57,RLD,44710,3,225388,318698,GHULAM MOHAMMED,SP,YASHVEER SINGHSiwalkhas,Yashvir SinghSIWALKHAS,Yashvir Singh,SIWALKHAS,RLD,0,12th Pass,19790246,NA,,
Jhansi,Babina,GEN,YASHPAL SINGH YADAV,M,GEN,33,SP,79876,2,230294,323440,KRISHNA PAL SINGH RAJPOOT,BSP,YASHPAL SINGH YADAVBabina,Yashpal YadavBABINA,Yashpal Yadav,BABINA,SP,0,Post Graduate,93868999,NA,AWADH NARAYANRudrapur,Awadh Narayan PandeyRUDRAPUR
Hathras,Sikandra Rao,GEN,YASHPAL SINGH CHAUHAN,M,GEN,65,SP,59740,3,216293,350277,RAMVEER UPADHYAY,BSP,YASHPAL SINGH CHAUHANSikandra Rao,Yashpal Singh ChauhanSIKANDRA RAO,Yashpal Singh Chauhan,SIKANDRA RAO,SP,0,Graduate,17230975,NA,,
Maharajganj,Siswa,GEN,YASH TRIPATHI,M,GEN,33,PECP,2659,5,239383,366103,SHIVENDRA SINGH ALIAS SHIV BABU,SP,YASH TRIPATHISiswa,Yash TripathiSISWA,Yash Tripathi,SISWA,Peace Party,4,Graduate,9300000,1,,
