ST_NAME,AC_NAME
Uttar Pradesh,Behat
Uttar Pradesh,Nakur
Uttar Pradesh,Saharanpur Nagar
Uttar Pradesh,Saharanpur  
Uttar Pradesh,Deoband
Uttar Pradesh,Rampur Maniharan 
Uttar Pradesh,Gangoh
Uttar Pradesh,Kairana
Uttar Pradesh,Thana Bhawan
Uttar Pradesh,Shamli
Uttar Pradesh,Budhana
Uttar Pradesh,Charthawal
Uttar Pradesh,Purqazi 
Uttar Pradesh,Muzaffar Nagar
Uttar Pradesh,Khatauli
Uttar Pradesh,Meerapur
Uttar Pradesh,Najibabad
Uttar Pradesh,Nagina 
Uttar Pradesh,Barhapur
Uttar Pradesh,Dhampur
Uttar Pradesh,Nehtaur
Uttar Pradesh,Bijnor
Uttar Pradesh,Chandpur
Uttar Pradesh,Noorpur
Uttar Pradesh,Kanth
Uttar Pradesh,Thakurdwara
Uttar Pradesh,Moradabad Rural
Uttar Pradesh,Moradabad Nagar
Uttar Pradesh,Kundarki
Uttar Pradesh,Bilari
Uttar Pradesh,Chandausi 
Uttar Pradesh,Asmoli
Uttar Pradesh,Sambhal
Uttar Pradesh,Suar
Uttar Pradesh,Chamraua
Uttar Pradesh,Bilaspur
Uttar Pradesh,Rampur  
Uttar Pradesh,Milak 
Uttar Pradesh,Dhanaura 
Uttar Pradesh,Naugawan Sadat
Uttar Pradesh,Amroha
Uttar Pradesh,Hasanpur
Uttar Pradesh,Siwalkhas
Uttar Pradesh,Sardhana
Uttar Pradesh,Hastinapur 
Uttar Pradesh,Kithore
Uttar Pradesh,Meerut Cantt.
Uttar Pradesh,Meerut  
Uttar Pradesh,Meerut South
Uttar Pradesh,Chhaprauli
Uttar Pradesh,Baraut
Uttar Pradesh,Baghpat
Uttar Pradesh,Loni
Uttar Pradesh,Muradnagar
Uttar Pradesh,Sahibabad
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Modi Nagar
Uttar Pradesh,Dholana
Uttar Pradesh,Hapur 
Uttar Pradesh,Garhmukteshwar
Uttar Pradesh,Noida
Uttar Pradesh,Dadri
Uttar Pradesh,Jewar
Uttar Pradesh,Sikandrabad
