ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTALVALIDVOTESPOLLED,POSITION
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,DAYANAND RAGHUNATH SOPTE,M,GEN,53,INC,16490,1
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,LAXMIKANT PARSEKAR,M,GEN,60,BJP,9371,2
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,SHRIDHAR LADU MANJREKAR,M,GEN,69,MAG,678,3
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,M,GEN,53,AAAP,620,4
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,None of the Above,NULL,NULL,NULL,NOTA,415,5
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,RAJENDRA M. SATELKAR,M,GEN,49,NCP,234,6
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,SANJAY KRISHNARAO PRABHU DESSAI,M,GEN,70,IND,101,7
S05,Goa,3,2017,North Goa,1,Mandrem,GEN,BHIM RAGHUVIR PEDNEKAR,M,GEN,50,BMUP,57,8
S05,Goa,3,2017,North Goa,2,Pernem ,SC,AJGAONKAR MANOHAR TRIMBAK,M,SC,63,MAG,15745,1
S05,Goa,3,2017,North Goa,2,Pernem ,SC,RAJENDRA ARLEKAR,M,SC,62,BJP,9715,2
S05,Goa,3,2017,North Goa,2,Pernem ,SC,VIKESH RAMESH ASSOTIKAR,M,SC,43,INC,1013,3
S05,Goa,3,2017,North Goa,2,Pernem ,SC,None of the Above,NULL,NULL,NULL,NOTA,469,4
S05,Goa,3,2017,North Goa,2,Pernem ,SC,SHIVANAND KRISHNA PILARNKAR,M,SC,40,AAAP,308,5
S05,Goa,3,2017,North Goa,2,Pernem ,SC,GOPALDAS ANANT ARLEKAR,M,SC,48,GVP,180,6
S05,Goa,3,2017,North Goa,2,Pernem ,SC,SANTOSH SHANKAR MANDREKAR,M,SC,45,NCP,124,7
S05,Goa,3,2017,North Goa,2,Pernem ,SC,NITIN MOHAN CHOPDEKAR,M,SC,37,BMUP,105,8
S05,Goa,3,2017,North Goa,2,Pernem ,SC,DNYANESWAR S VARKHANKAR,M,SC,40,GoPrP,71,9
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,RAJESH PATNEKAR,M,GEN,53,BJP,10654,1
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,NARESH SAWAL,M,GEN,51,MAG,9988,2
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,MANOHAR PANDURANG SHIRODKAR,M,GEN,50,INC,1761,3
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,SAINATH PATEKAR,M,GEN,33,AAAP,358,4
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,RAUT PANDURANG DATTARAM,M,GEN,70,GoPrP,324,5
S05,Goa,3,2017,North Goa,3,Bicholim,GEN,None of the Above,NULL,NULL,NULL,NOTA,221,6
S05,Goa,3,2017,North Goa,4,Tivim,GEN,NILKANTH RAMNATH HALARNKAR,M,GEN,54,INC,11099,1
