DIST_NAME,AC_NAME,AC.ID,AC_TYPE,Name,Gender,Caste,Age,Party,Votes,POSITION,Polled,Electors,MLA.12,Party.12,Criminal Case ,Education ,Total Assets,ser,Incumbent.Party
Agra,Agra Cantt. ,206,SC,UMESH CHAND,M,SC,47,APoI,763,9,252850,427525,GUTIYARI LAL DUWESH,BSP,0,Graduate,50000,0,0
Agra,Agra Cantt. ,206,SC,RAKESH KUMAR,M,SC,36,PECP,868,8,252850,427525,GUTIYARI LAL DUWESH,BSP,0,Literate,86000,0,0
Agra,Agra Cantt. ,206,SC,RAJKUMAR SINGH,M,SC,38,JAM,267,12,252850,427525,GUTIYARI LAL DUWESH,BSP,0,Graduate,1460000,0,0
Agra,Agra Cantt. ,206,SC,OMPRAKASH,M,SC,54,BaSaPa,222,13,252850,427525,GUTIYARI LAL DUWESH,BSP,0,Literate,2177000,0,0
Agra,Agra Cantt. ,206,SC,MAMTA KAUDAN,F,SC,44,SP,64683,3,252850,427525,GUTIYARI LAL DUWESH,BSP,0,Graduate,44629000,0,0
Agra,Agra Cantt. ,206,SC,GUTIYARI LAL DUWESH,M,SC,52,BSP,66853,2,252850,427525,GUTIYARI LAL DUWESH,BSP,0,8th Pass,54117613,0,1
Agra,Agra Cantt. ,206,SC,DR. GIRRAJ SINGH DHARMESH,M,SC,63,BJP,113178,1,252850,427525,GUTIYARI LAL DUWESH,BSP,2,Graduate Professional,23494000,0,0
Agra,Agra Cantt. ,206,SC,BABITA SINGH MAURYA,F,SC,43,RSMD,124,15,252850,427525,GUTIYARI LAL DUWESH,BSP,0,8th Pass,7766000,0,0
Agra,Agra North,9,GEN,VIVEK KUMAR JAIN,M,GEN,41,BSCP,177,16,230858,395511,JAGAN PRASAD GARG,BJP,0,Graduate,1705000,0,0
Agra,Agra North,9,GEN,COL. UMESH VERMA,M,GEN,45,RLD,1214,6,230858,395511,JAGAN PRASAD GARG,BJP,0,Graduate Professional,16698682,0,0
Agra,Agra North,9,GEN,TEJVEER SINGH,M,GEN,41,PECP,224,15,230858,395511,JAGAN PRASAD GARG,BJP,0,Graduate,231000,0,0
Agra,Agra North,9,GEN,MUKESH,M,GEN,30,RSMD,237,14,230858,395511,JAGAN PRASAD GARG,BJP,0,10th Pass,196000,0,0
Agra,Agra North,9,GEN,JAGAN PRASAD GARG,M,GEN,64,BJP,135120,1,230858,395511,JAGAN PRASAD GARG,BJP,5,Graduate,167804565,1,1
Agra,Agra North,9,GEN,IRFAN KHAN,M,GEN,29,VIP,410,10,230858,395511,JAGAN PRASAD GARG,BJP,0,5th Pass,5000,0,0
Agra,Agra North,9,GEN,DEV KUMAR,M,GEN,41,JAM,238,13,230858,395511,JAGAN PRASAD GARG,BJP,0,8th Pass,185000,0,0
Agra,Agra North,9,GEN,ATUL GARG,M,GEN,47,SP,36739,3,230858,395511,JAGAN PRASAD GARG,BJP,0,Graduate Professional,22432102,0,0
Agra,Agra Rural ,246,SC,UPENDRA SINGH,M,SC,46,INC,31312,3,250042,392467,KALI CHARAN SUMAN,BSP,1,Post Graduate,25659543,1,0
Agra,Agra Rural ,246,SC,OMA SHANKAR ALIAS SUNIL DIWAKAR,M,SC,25,JAM,1378,6,250042,392467,KALI CHARAN SUMAN,BSP,0,Graduate,83100,0,0
Agra,Agra Rural ,246,SC,NARAYAN SINGH SUMAN,M,SC,63,RLD,17446,4,250042,392467,KALI CHARAN SUMAN,BSP,2,8th Pass,88273403,1,0
Agra,Agra Rural ,246,SC,KALICHARAN SUMAN,M,SC,52,BSP,64591,2,250042,392467,KALI CHARAN SUMAN,BSP,0,Post Graduate,17850449,0,1
Agra,Agra Rural ,246,SC,HEMLATA DIWAKAR,F,SC,36,BJP,129887,1,250042,392467,KALI CHARAN SUMAN,BSP,0,Graduate Professional,24718058,0,0
Agra,Agra South,242,GEN,YOGENDRA UPADHYAYA,M,GEN,61,BJP,111882,1,217256,348912,YOGENDRA UPADHYAYA,BJP,7,Post Graduate,18427155,1,1
Agra,Agra South,242,GEN,SHYAM SUNDAR,M,SC,50,BMUP,149,23,217256,348912,YOGENDRA UPADHYAYA,BJP,0,10th Pass,7000,0,0
Agra,Agra South,242,GEN,ROHIT SINGH DHAKAD,M,GEN,35,BLSP,177,20,217256,348912,YOGENDRA UPADHYAYA,BJP,1,8th Pass,1850000,1,0
Agra,Agra South,242,GEN,PADMA AGRAWAL,F,GEN,32,BRKD,154,22,217256,348912,YOGENDRA UPADHYAYA,BJP,0,Literate,1872839,0,0
Agra,Agra South,242,GEN,NAZIR AHMED,M,GEN,59,INC,39434,3,217256,348912,YOGENDRA UPADHYAYA,BJP,0,Graduate,2114710975,0,0
Agra,Agra South,242,GEN,NASIR ABBAS,M,GEN,36,BKS,244,15,217256,348912,YOGENDRA UPADHYAYA,BJP,0,5th Pass,162100,0,0
Agra,Agra South,242,GEN,KRISHAN GOPAL UPADHYAY,M,GEN,39,PECP,239,16,217256,348912,YOGENDRA UPADHYAYA,BJP,0,Graduate,2535000,0,0
Agra,Agra South,242,GEN,ZULFIQAR AHMAD BHUTTO,M,GEN,44,BSP,57657,2,217256,348912,YOGENDRA UPADHYAYA,BJP,2,Graduate,72842986,1,0
Agra,Agra South,242,GEN,IDARISH,M,GEN,28,AIMIM,232,17,217256,348912,YOGENDRA UPADHYAYA,BJP,1,Post Graduate,81000,1,0
Agra,Agra South,242,GEN,DEREK SMITH,M,GEN,63,ADRSP,113,27,217256,348912,YOGENDRA UPADHYAYA,BJP,0,Post Graduate,52447460,0,0
Agra,Agra South,242,GEN,ATUL KUMAR,M,GEN,45,JAM,133,25,217256,348912,YOGENDRA UPADHYAYA,BJP,0,Post Graduate,22155000,0,0
Agra,Agra South,242,GEN,ANJALI BHARGAVA,F,GEN,43,MAHISAP,559,7,217256,348912,YOGENDRA UPADHYAYA,BJP,0,8th Pass,403300,0,0
Varanasi,Ajagara ,220,SC,VIDYA DEVI,F,SC,47,BMUP,448,13,219884,336882,TRIBHUVAN RAM,BSP,0,8th Pass,2861944,0,0
Varanasi,Ajagara ,220,SC,TRIBHUVAN RAM,M,SC,68,BSP,52480,3,219884,336882,TRIBHUVAN RAM,BSP,1,Graduate Professional,85427698,1,1
Varanasi,Ajagara ,220,SC,SHASHIKANT,M,SC,28,ASP,1196,9,219884,336882,TRIBHUVAN RAM,BSP,2,12th Pass,82200,1,0
Varanasi,Ajagara ,220,SC,RAJESH,M,SC,38,RLD,1288,8,219884,336882,TRIBHUVAN RAM,BSP,0,Graduate Professional,2355000,0,0
Varanasi,Ajagara ,220,SC,MAHENDRA PRATAP GAUTAM,M,SC,40,MAHAD,954,10,219884,336882,TRIBHUVAN RAM,BSP,4,8th Pass,163000,1,0
Varanasi,Ajagara ,220,SC,LALJI SONKAR,M,SC,37,SP,62429,2,219884,336882,TRIBHUVAN RAM,BSP,1,Literate,2463821,1,0
Varanasi,Ajagara ,220,SC,LALATA,M,SC,52,BSKD,452,12,219884,336882,TRIBHUVAN RAM,BSP,0,12th Pass,503000,0,0
Varanasi,Ajagara ,220,SC,KAILASH NATH SONKAR,M,SC,54,SBSP,83778,1,219884,336882,TRIBHUVAN RAM,BSP,0,12th Pass,84692864,0,0
Varanasi,Ajagara ,220,SC,AMAR NATH,M,SC,46,NCP,1470,7,219884,336882,TRIBHUVAN RAM,BSP,0,12th Pass,760000,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,SHRIRAM,M,GEN,58,NINSHAD,6550,4,204326,306161,RAM MURTI VERMA,SP,1,Post Graduate,11555151,1,0
Ambedkar Nagar,Akbarpur  ,335,GEN,SAROJ SHARMA,F,GEN,42,MADP,704,10,204326,306161,RAM MURTI VERMA,SP,0,Post Graduate,135500,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,RAM MURTI VERMA,M,GEN,52,SP,58312,2,204326,306161,RAM MURTI VERMA,SP,0,12th Pass,33875383,0,1
Ambedkar Nagar,Akbarpur  ,335,GEN,RAM ACHAL RAJBHAR,M,GEN,62,BSP,72325,1,204326,306161,RAM MURTI VERMA,SP,0,Graduate,22055532,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,RAJESH KUMAR,M,GEN,29,JPS,349,14,204326,306161,RAM MURTI VERMA,SP,0,Graduate Professional,20000,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,RAJA RAM NISHAD,M,GEN,74,CPM,976,8,204326,306161,RAM MURTI VERMA,SP,0,Post Graduate,13466000,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,NAND LAL &#39;BHARTI&#39;,M,SC,60,BMUP,430,13,204326,306161,RAM MURTI VERMA,SP,0,Post Graduate,6757300,0,0
Ambedkar Nagar,Akbarpur  ,335,GEN,NAND KUMAR TIWARI RANA,M,GEN,45,SHS,800,9,204326,306161,RAM MURTI VERMA,SP,0,8th Pass,2193200,0,0
