,s2.i,s1.i,s2name,s1name,jw,jaccard,dl,lv
1744,8,140,SRI NAGAR,Sri Nagar ,0.033333333,0,1,1
726,3,143,KASTA,Kasta ,0.055555556,0.2,1,1
13,1,175,175-LUCKNOW CANTT.,Lucknow Cantt.,0.074074074,0.266666667,4,4
1641,6,369,Machhlishahr S.C.,Machhlishahr ,0.078431373,0.1,4,4
1676,7,311,Mahadewa S.C,Mahadewa ,0.083333333,0.3,3,3
1923,9,247,Vishwanathganj,Bishwavnathganj,0.093650794,0.090909091,2,2
1494,4,372,Kerakat S.C.,Kerakat ,0.111111111,0.333333333,4,4
1507,5,109,Kishani (SC),Kishani ,0.111111111,0.3,4,4
716,3,131,KASTA,Katra,0.133333333,0.4,2,2
1807,8,267,SRI NAGAR,Ram Nagar,0.148148148,0.375,3,3
599,2,282,BALHA (S.C.),Balha ,0.166666667,0.5,NA,NA
1712,8,57,SRI NAGAR,Modi Nagar,0.174074074,0.4,3,3
1842,8,333,SRI NAGAR,Kushinagar,0.174074074,0.4,4,4
11,1,173,175-LUCKNOW CANTT.,Lucknow East,0.203703704,0.411764706,8,8
689,3,100,KASTA,Kasganj,0.20952381,NA,3,3
862,3,334,KASTA,Hata,0.216666667,0.6,2,2
12,1,174,175-LUCKNOW CANTT.,Lucknow Central,0.219444444,0.411764706,8,8
1901,9,121,Vishwanathganj,Nawabganj,0.221560847,0.545454545,NA,NA
10,1,172,175-LUCKNOW CANTT.,Lucknow North,0.225071225,0.470588235,9,9
1950,9,365,Vishwanathganj,Shahganj,0.226190476,0.4,NA,NA
1759,8,170,SRI NAGAR,Sarojini Nagar,0.23015873,0.222222222,5,5
624,3,15,KASTA,Khatauli,0.233333333,0.625,5,5
819,3,277,KASTA,Katehari,0.233333333,NA,5,5
1921,9,242,Vishwanathganj,Husainganj,0.244973545,0.363636364,NA,NA
9,1,171,175-LUCKNOW CANTT.,Lucknow West,0.25,0.470588235,9,9
571,2,94,BALHA (S.C.),Bah,0.25,0.7,NA,NA
1674,7,285,Mahadewa S.C,Mahasi,0.25,NA,NA,NA
1687,7,397,Mahadewa S.C,Majhawan,0.25,NA,NA,NA
1938,9,308,Vishwanathganj,Kaptanganj,0.251190476,0.583333333,NA,NA
1721,8,80,SRI NAGAR,Sikandra Rao,0.252314815,0.4,8,8
732,3,150,KASTA,Sevata,0.261111111,0.5,4,4
1784,8,212,SRI NAGAR,Govindnagar,0.262626263,0.5,5,5
1825,8,302,SRI NAGAR,Shohratgarh,0.262626263,NA,6,6
634,3,25,KASTA,Kanth,0.266666667,0.5,2,2
793,3,243,KASTA,Khaga,0.266666667,0.666666667,3,3
830,3,288,KASTA,Kaiserganj,0.266666667,NA,6,6
1907,9,149,Vishwanathganj,Biswan,0.26984127,0.545454545,NA,NA
1912,9,176,Vishwanathganj,Mohanlalganj ,0.271062271,NA,8,8
651,3,45,KASTA,Hastinapur ,0.278787879,NA,7,7
838,3,297,KASTA,Katra Bazar,0.278787879,NA,NA,NA
848,3,310,KASTA,Basti Sadar,0.278787879,NA,NA,NA
1904,9,138,Vishwanathganj,Nighasan,0.279761905,NA,NA,NA
598,2,264,BALHA (S.C.),Bara ,0.288888889,NA,NA,NA
1476,4,229,Kerakat S.C.,Rath ,0.288888889,0.6,NA,NA
1660,7,105,Mahadewa S.C,Marhara,0.28968254,NA,NA,NA
1929,9,276,Vishwanathganj,Goshainganj,0.290764791,0.363636364,7,7
1581,6,145,Machhlishahr S.C.,Maholi,0.290849673,0.545454545,NA,NA
1730,8,99,SRI NAGAR,Sirsaganj,0.291005291,0.25,5,5
1939,9,314,Vishwanathganj,Dhanghata ,0.292857143,0.583333333,NA,NA
1786,8,214,SRI NAGAR,Arya Nagar,0.293121693,0.375,3,3
1791,8,223,SRI NAGAR,Jhansi Nagar,0.293981481,0.222222222,5,5
1726,8,92,SRI NAGAR,Kheragarh,0.296296296,NA,6,6
1853,8,352,SRI NAGAR,Mehnagar ,0.296296296,0.5,5,5
1568,6,106,Machhlishahr S.C.,Jalesar ,0.299019608,NA,NA,NA
678,3,81,KASTA,Chhata,0.3,0.666666667,4,4
698,3,110,KASTA,Karhal,0.3,NA,3,3
826,3,284,KASTA,Matera,0.3,NA,4,4
859,3,329,KASTA,Khadda,0.3,0.666666667,3,3
881,3,358,KASTA,Rasara,0.3,NA,3,3
1680,7,338,Mahadewa S.C,Pathardeva,0.3,NA,NA,NA
1898,9,113,Vishwanathganj,Sahaswan,0.303571429,0.5,NA,NA
1900,9,117,Vishwanathganj,Dataganj,0.303571429,0.545454545,NA,NA
1891,9,66,Vishwanathganj,Syana,0.304761905,NA,NA,NA
1872,8,388,SRI NAGAR,Varanasi North,0.30489418,0.454545455,NA,NA
1780,8,207,SRI NAGAR,Sikandra,0.305555556,0.444444444,NA,NA
1917,9,215,Vishwanathganj,Kidwai Nagar,0.305555556,NA,NA,NA
16,1,216,175-LUCKNOW CANTT.,Kanpur Cantt.,0.308404558,NA,10,10
1727,8,96,SRI NAGAR,Jasrana,0.31005291,0.5,NA,NA
1803,8,255,SRI NAGAR,Soraon ,0.31005291,0.375,NA,NA
1951,9,373,Vishwanathganj,Jakhanian ,0.314285714,NA,NA,NA
1663,7,177,Mahadewa S.C,Bachhrawan ,0.318181818,NA,NA,NA
1811,8,272,SRI NAGAR,Haidergarh ,0.318181818,0.5,7,7
