PLAYER_ID,SITEID,MINDATE,MAXDATE,TABLETHEO,SLOTTHEO,SLOTACTUAL,TABLEWIN,ROOM,FANDB,SHOW,OTHER,BIRTHDAY,YEAR,TOTALTHEO,TOTALCOMP,TOTALEARNINGS
1,3,14-Jan-04,16-Jan-04,0,145.95,409.25,0,0,43.84,0,0,04-Dec-50,2004,145.95,43.84,102.11
1,4,15-Jan-04,16-Jan-04,3.16,49.02,-309,40,0,4.33,0,0,04-Dec-50,2004,52.18,4.33,47.85
1,6,25-Jan-02,25-Jan-02,0,14,65.5,0,0,0,0,0,04-Dec-50,2002,14,0,14
2,2,05-Sep-03,05-Sep-03,0,0,0,0,0,0,0,0,24-Dec-38,2003,0,0,0
2,3,05-Sep-03,05-Sep-03,0,87.4,179.75,0,0,0,0,0,24-Dec-38,2003,87.4,0,87.4
2,2,26-Sep-02,29-Sep-02,0,17.02,-511.5,0,0,0,0,0,24-Dec-38,2002,17.02,0,17.02
2,3,29-Sep-02,29-Sep-02,0,8.81,15,0,0,0,0,0,24-Dec-38,2002,8.81,0,8.81
3,4,01-Sep-03,01-Sep-03,0,14.04,30,0,0,0,0,0,22-Feb-70,2003,14.04,0,14.04
3,8,01-Sep-03,01-Sep-03,0,0,0,0,0,0,0,0,22-Feb-70,2003,0,0,0
3,8,16-Nov-02,17-Nov-02,0,149.39,422.1,0,0,0,0,0,22-Feb-70,2002,149.39,0,149.39
4,1,02-Dec-02,02-Dec-02,0,0,0,0,0,0,0,0,03-Mar-43,2002,0,0,0
4,3,02-Dec-02,02-Dec-02,0,0,0,0,0,0,0,0,03-Mar-43,2002,0,0,0
4,3,25-Oct-02,25-Oct-02,80.8,0,0,-3000,0,0,0,0,03-Mar-43,2002,80.8,0,80.8
5,1,20-Jul-02,27-Jul-02,0,31.71,113.75,0,0,0,0,0,31-May-36,2002,31.71,0,31.71
5,3,27-Jul-02,27-Jul-02,0,0,0,0,0,0,0,0,31-May-36,2002,0,0,0
