HOTEL_CUSTOMER_ID,PLAYER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,DEBIT_TTL,CREDIT_TTL,Rev_TTL,Earnings_TTL,ROOMDEBIT,ROOMCREDIT,Room_Rev,Room_Earnings,OTHERDEBIT,OTHERCREDIT,Other_Rev,Other_Earnings,FNBDEBIT,FNBCREDIT,FNB_Rev,FNB_Earnings,ENTERTNDEBIT,ENTERTNCREDIT,Entertn_Rev,Entertn_Earnings,RETLCREDIT,RETLDEBIT,Retl_Rev,Retl_Earnings,TOTAL_CHARGES,Is Casino
1,1232,11-Aug-2002,14-Aug-2002,65.34,0,65.34,13.068,0,0,0,0,65.34,0,65.34,13.068,0,0,0,0,0,0,0,0,0,0,0,0,65.34,1
2,628,19-Jul-2002,23-Jul-2002,472.7,0,472.7,94.78,0,0,0,0,469.7,0,469.7,93.94,3,0,3,0.84,0,0,0,0,0,0,0,0,472.7,1
2,628,22-Sep-2003,23-Sep-2003,41.64,0,41.64,8.728,0,0,0,0,36.64,0,36.64,7.328,5,0,5,1.4,0,0,0,0,0,0,0,0,41.64,1
4,4168,12-Jun-2002,16-Jun-2002,435.76,0,435.76,87.152,435.76,0,435.76,87.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.76,0
5,1496,15-May-2003,17-May-2003,439.82,0,439.82,76.0568,239.68,0,239.68,47.936,44.98,0,44.98,8.996,136.16,0,136.16,38.1248,0,0,0,0,0,19,-19,-19,439.82,0
5,1496,29-Aug-2002,1-Sep-2002,747.07,0,747.07,167.6348,512.31,0,512.31,102.462,7,0,7,1.4,227.76,0,227.76,63.7728,0,0,0,0,0,0,0,0,747.07,0
6,2497,7-Jun-2002,9-Jun-2002,506.69,0,506.69,103.5148,479.48,0,479.48,95.896,0,0,0,0,27.21,0,27.21,7.6188,0,0,0,0,0,0,0,0,506.69,1
6,2497,7-Mar-2003,9-Mar-2003,108.03,0,108.03,21.606,0,0,0,0,108.03,0,108.03,21.606,0,0,0,0,0,0,0,0,0,0,0,0,108.03,1
6,2497,13-Apr-2002,14-Apr-2002,185.24,0,185.24,37.048,185.24,0,185.24,37.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.24,1
6,2497,13-Sep-2002,15-Sep-2002,153.48,0,153.48,30.696,152.48,0,152.48,30.496,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,153.48,1
