"CustomerID","MeanValue","LastTransaction","NoTransaction","MonetoryPercentile","FrequencyPercentile","RecencyPercentile","MonetoryScore","FrequencyScore","RecencyScore","MonetoryWeightedScore","FrequencyWeightedScore","RecencyWeightedScore","FinalScore","FinalWeightedScore","FinalCustomerClass","Casino_Earnings","hotel_Earnings","Mgm_Earnings"
"1",54.6533333333333,2004-01-16,3,0.515560875512975,0.497435020519836,0.610978112175102,3,3,4,15,15,20,50,3.33333333333333,"Class-3",163.96,0,163.96
"10",6.18192307692308,2004-09-01,26,0.131668946648428,0.944767441860465,0.766928864569083,1,5,4,5,25,20,50,3.33333333333333,"Class-3",160.73,0,160.73
"100",11.2971428571429,2004-07-08,7,0.180061559507527,0.732045143638851,0.715629274965799,1,4,4,5,20,20,45,3,"Class-3",79.08,0,79.08
"1000",149.347210526316,2004-11-10,19,0.794972640218908,0.915013679890561,0.877564979480164,4,5,5,20,25,25,70,4.66666666666667,"Class-4",2837.597,0,2837.597
"1001",13.9925,2004-08-03,20,0.206053351573191,0.919972640218878,0.737346101231189,2,5,4,10,25,20,55,3.66666666666667,"Class-3",279.85,0,279.85
"1002",39.6215384615385,2004-08-10,13,0.426812585499301,0.86234610123119,0.74469904240766,3,5,4,15,25,20,60,4,"Class-4",515.08,0,515.08
"1003",46.98,2004-12-07,8,0.473324213406273,0.763337893296854,0.926983584131326,3,4,5,15,20,25,60,4,"Class-4",375.84,0,375.84
"1004",219.745,2003-06-10,2,0.860465116279112,0.352941176470588,0.525307797537619,5,2,3,25,10,15,50,3.33333333333333,"Class-3",439.49,0,439.49
"1005",388.86,2002-04-03,2,0.921853625171053,0.352941176470588,0.112004103967168,5,2,1,25,10,5,40,2.66666666666667,"Class-2",777.72,0,777.72
"1006",265.067851515152,2005-01-04,33,0.886114911080758,0.962722298221614,0.997777017783857,5,5,5,25,25,25,75,5,"Class-5",8747.2391,0,8747.2391
"1007",117.254844444444,2004-02-26,9,0.740595075239417,0.790697674418605,0.630984952120382,4,4,4,20,20,20,60,4,"Class-4",124.64,930.6536,1055.2936
"1009",172.42,2003-01-27,3,0.82164842681262,0.497435020519836,0.495212038303693,5,3,3,25,15,15,55,3.66666666666667,"Class-3",517.26,0,517.26
"101",42.24,2002-10-07,1,0.442373461012295,0,0.405779753761969,3,1,3,15,5,15,35,2.33333333333333,"Class-2",42.24,0,42.24
"1010",12712.8873333333,2004-02-12,15,0.997948016415937,0.885601915184679,0.62329001367989,5,5,4,25,25,20,70,4.66666666666667,"Class-4",190693.31,0,190693.31
"1011",434.545309090909,2004-09-21,11,0.932284541723722,0.834131326949385,0.814295485636114,5,5,5,25,25,25,75,5,"Class-5",4566,213.9984,4779.9984
"1013",26.1125,2004-02-28,12,0.319938440492473,0.850205198358413,0.631839945280437,2,5,4,10,25,20,55,3.66666666666667,"Class-3",313.35,0,313.35
"1014",62.7,2003-09-13,2,0.56395348837208,0.352941176470588,0.560191518467852,3,2,3,15,10,15,40,2.66666666666667,"Class-2",125.4,0,125.4
"1015",84.1,2003-06-03,2,0.651846785225721,0.352941176470588,0.523597811217509,4,2,3,20,10,15,45,3,"Class-3",168.2,0,168.2
"1016",2636.03538461538,2002-11-17,13,0.990253077975443,0.86234610123119,0.454172366621066,5,5,3,25,25,15,65,4.33333333333333,"Class-4",34268.46,0,34268.46
"1017",450.496666666667,2003-04-09,3,0.93536251709992,0.497435020519836,0.508549931600546,5,3,3,25,15,15,55,3.66666666666667,"Class-3",1350.29,1.2,1351.49
"1019",275.175,2004-01-31,2,0.890560875513044,0.352941176470588,0.616621067031463,5,2,4,25,10,20,55,3.66666666666667,"Class-3",550.35,0,550.35
"102",-13.225,2002-08-29,2,0.0365937072503418,0.352941176470588,0.34781121751026,1,2,2,5,10,10,25,1.66666666666667,"Class-1",-26.45,0,-26.45
"1020",1011.70333333333,2004-10-25,18,0.973837209302389,0.909712722298222,0.855848153214774,5,5,5,25,25,25,75,5,"Class-5",18210.66,0,18210.66
"1021",1137.16693333333,2004-09-14,9,0.977941176470653,0.790697674418605,0.783173734610122,5,4,4,25,20,20,65,4.33333333333333,"Class-4",10234.5024,0,10234.5024
"1022",-1.2,2002-01-24,2,0.0446306429548561,0.352941176470588,0.0193228454172367,1,2,1,5,10,5,20,1.33333333333333,"Class-1",-13.3,10.9,-2.4
"1024",408.5188,2004-03-29,15,0.926983584131382,0.885601915184679,0.651333789329684,5,5,4,25,25,20,70,4.66666666666667,"Class-4",5855.35,272.432,6127.782
"1026",45,2003-04-10,4,0.460157318741432,0.581395348837209,0.50923392612859,3,3,3,15,15,15,45,3,"Class-3",180,0,180
"1027",384.969552,2004-05-31,25,0.920656634746976,0.941860465116279,0.688953488372092,5,5,4,25,25,20,70,4.66666666666667,"Class-4",9465.98,158.2588,9624.2388
"1029",112.554444444444,2004-12-27,9,0.73050615595077,0.790697674418605,0.969733242134062,4,4,5,20,20,25,65,4.33333333333333,"Class-4",1012.99,0,1012.99
"103",90.37,2003-05-15,8,0.675444596443236,0.763337893296854,0.51829685362517,4,4,3,20,20,15,55,3.66666666666667,"Class-3",722.96,0,722.96
"1030",273.354417647059,2004-11-17,17,0.889363885088967,0.902359781121751,0.889705882352941,5,5,5,25,25,25,75,5,"Class-5",4368.6659,278.3592,4647.0251
"1032",51.5726166666667,2004-09-26,6,0.498290013679868,0.689466484268126,0.818741450068399,3,4,5,15,20,25,60,4,"Class-4",309.4357,0,309.4357
"1033",67.66,2002-04-06,1,0.587722298221606,0,0.117476060191519,3,1,1,15,5,5,25,1.66666666666667,"Class-1",67.66,0,67.66
"1034",53.0739,2004-09-12,8,0.507865937072481,0.763337893296854,0.780608755129958,3,4,4,15,20,20,55,3.66666666666667,"Class-3",0,424.5912,424.5912
"1035",159.97,2003-01-24,4,0.807455540355709,0.581395348837209,0.49469904240766,5,3,3,25,15,15,55,3.66666666666667,"Class-3",639.88,0,639.88
"1036",989.943478260869,2004-10-14,23,0.973324213406357,0.935704514363885,0.840116279069767,5,5,5,25,25,25,75,5,"Class-5",22768.7,0,22768.7
"1037",-125.526666666667,2003-08-23,3,0.0124829001367989,0.497435020519836,0.553180574555403,1,3,3,5,15,15,35,2.33333333333333,"Class-2",-376.58,0,-376.58
"1038",3115.19,2002-12-08,1,0.991108071135498,0,0.475034199726401,5,1,3,25,5,15,45,3,"Class-3",3115.19,0,3115.19
"1039",7.814,2004-11-04,5,0.149794801641589,0.642612859097127,0.869186046511627,1,4,5,5,20,25,50,3.33333333333333,"Class-3",39.07,0,39.07
"104",86.6766666666667,2004-11-18,9,0.661251709986325,0.790697674418605,0.891928864569083,4,4,5,20,20,25,65,4.33333333333333,"Class-4",780.09,0,780.09
"1040",205.23368,2004-07-05,10,0.850034199726442,0.815492476060192,0.711525307797537,5,5,4,25,25,20,70,4.66666666666667,"Class-4",1816.49,235.8468,2052.3368
"1042",2.27098333333334,2004-10-12,6,0.0822503419972641,0.689466484268126,0.839090287277701,1,4,5,5,20,25,50,3.33333333333333,"Class-3",13.6259,0,13.6259
"1043",172.78,2004-08-06,3,0.821990424076642,0.497435020519836,0.740937072503419,5,3,4,25,15,20,60,4,"Class-4",518.34,0,518.34
"1044",4802.25192307692,2005-01-03,13,0.994357045143707,0.86234610123119,0.995896032831737,5,5,5,25,25,25,75,5,"Class-5",62429.275,0,62429.275
"1045",246.0896875,2004-12-12,8,0.876025991792111,0.763337893296854,0.936559507523939,5,4,5,25,20,25,70,4.66666666666667,"Class-4",1968.7175,0,1968.7175
"1046",35.7413333333333,2004-03-27,15,0.40253077975375,0.885601915184679,0.649281805745553,3,5,4,15,25,20,60,4,"Class-4",536.12,0,536.12
"1047",75.2291666666667,2004-10-25,12,0.619528043775647,0.850205198358413,0.855848153214774,4,5,5,20,25,25,70,4.66666666666667,"Class-4",902.75,0,902.75
"1048",-96.225,2002-10-27,2,0.0140218878248974,0.352941176470588,0.428693570451436,1,2,3,5,10,15,30,2,"Class-2",-192.75,0.3,-192.45
"105",20.858,2003-09-26,5,0.274623803009578,0.642612859097127,0.565834473324213,2,4,3,10,20,15,45,3,"Class-3",104.29,0,104.29
"1050",1281.76666666667,2003-02-25,60,0.979822161422774,0.983926128590972,0.499829001367988,5,5,3,25,25,15,65,4.33333333333333,"Class-4",76906,0,76906
"1051",563.753333333333,2004-04-13,6,0.949726402188842,0.689466484268126,0.660225718194253,5,4,4,25,20,20,65,4.33333333333333,"Class-4",3382.52,0,3382.52
"1052",435.54,2002-07-22,1,0.933139534883777,0,0.274110807113543,5,1,2,25,5,10,40,2.66666666666667,"Class-2",435.54,0,435.54
"1053",176.835066666667,2004-10-10,3,0.824384404924796,0.497435020519836,0.835499316005471,5,3,5,25,15,25,65,4.33333333333333,"Class-4",239.71,290.7952,530.5052
"1055",17.5,2002-11-23,1,0.245725034199731,0,0.46032831737346,2,1,3,10,5,15,30,2,"Class-2",17.5,0,17.5
"1056",132.266666666667,2003-07-27,3,0.769664842681283,0.497435020519836,0.542065663474691,4,3,3,20,15,15,50,3.33333333333333,"Class-3",396.8,0,396.8
"1057",96.8147727272727,2004-12-25,88,0.694425444596454,0.990766073871409,0.965458276333789,4,5,5,20,25,25,70,4.66666666666667,"Class-4",8519.7,0,8519.7
"1058",138.155,2003-12-09,2,0.778043775649821,0.352941176470588,0.594220246238029,4,2,3,20,10,15,45,3,"Class-3",276.31,0,276.31
