CustomerID,MeanValue,LastTransaction,NoTransaction,Total Earnings,MonetoryPercentile,FrequencyPercentile,RecencyPercentile,MonetoryScore,FrequencyScore,RecencyScore,MonetoryWeightedScore,FrequencyWeightedScore,RecencyWeightedScore,FinalScore,FinalWeightedScore,Class Def,FinalCustomerClass,final_type
1,54.65333333,1/16/2004,3,163.96,0.515560876,0.497435021,0.610978112,3,3,4,15,15,20,50,3.333333333,Moderate to High,Class-3,Casino
10,6.181923077,9/1/2004,26,160.73,0.131668947,0.944767442,0.766928865,1,5,4,5,25,20,50,3.333333333,Moderate to High,Class-3,Casino
100,11.29714286,7/8/2004,7,79.08,0.18006156,0.732045144,0.715629275,1,4,4,5,20,20,45,3,Moderate to High,Class-3,Casino
1000,149.3472105,11/10/2004,19,2837.597,0.79497264,0.91501368,0.877564979,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1001,13.9925,8/3/2004,20,279.85,0.206053352,0.91997264,0.737346101,2,5,4,10,25,20,55,3.666666667,Moderate to High,Class-3,Casino
1002,39.62153846,8/10/2004,13,515.08,0.426812585,0.862346101,0.744699042,3,5,4,15,25,20,60,4,Regulars and High Values,Class-4,Casino
1003,46.98,12/7/2004,8,375.84,0.473324213,0.763337893,0.926983584,3,4,5,15,20,25,60,4,Regulars and High Values,Class-4,Casino
1004,219.745,6/10/2003,2,439.49,0.860465116,0.352941176,0.525307798,5,2,3,25,10,15,50,3.333333333,Moderate to High,Class-3,Casino
1005,388.86,4/3/2002,2,777.72,0.921853625,0.352941176,0.112004104,5,2,1,25,10,5,40,2.666666667,All but little less freq,Class-2,Casino
1006,265.0678515,1/4/2005,33,8747.2391,0.886114911,0.962722298,0.997777018,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1007,117.2548444,2/26/2004,9,1055.2936,0.740595075,0.790697674,0.630984952,4,4,4,20,20,20,60,4,Regulars and High Values,Class-4,Hotel & Casino
1009,172.42,1/27/2003,3,517.26,0.821648427,0.497435021,0.495212038,5,3,3,25,15,15,55,3.666666667,Moderate to High,Class-3,Casino
101,42.24,10/7/2002,1,42.24,0.442373461,0,0.405779754,3,1,3,15,5,15,35,2.333333333,All but little less freq,Class-2,Casino
1010,12712.88733,2/12/2004,15,190693.31,0.997948016,0.885601915,0.623290014,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Casino
1011,434.5453091,9/21/2004,11,4779.9984,0.932284542,0.834131327,0.814295486,5,5,5,25,25,25,75,5,All Highs,Class-5,Hotel & Casino
1013,26.1125,2/28/2004,12,313.35,0.31993844,0.850205198,0.631839945,2,5,4,10,25,20,55,3.666666667,Moderate to High,Class-3,Casino
1014,62.7,9/13/2003,2,125.4,0.563953488,0.352941176,0.560191518,3,2,3,15,10,15,40,2.666666667,All but little less freq,Class-2,Casino
1015,84.1,6/3/2003,2,168.2,0.651846785,0.352941176,0.523597811,4,2,3,20,10,15,45,3,Moderate to High,Class-3,Casino
1016,2636.035385,11/17/2002,13,34268.46,0.990253078,0.862346101,0.454172367,5,5,3,25,25,15,65,4.333333333,Regulars and High Values,Class-4,Casino
1017,450.4966667,4/9/2003,3,1351.49,0.935362517,0.497435021,0.508549932,5,3,3,25,15,15,55,3.666666667,Moderate to High,Class-3,Hotel & Casino
1019,275.175,1/31/2004,2,550.35,0.890560876,0.352941176,0.616621067,5,2,4,25,10,20,55,3.666666667,Moderate to High,Class-3,Casino
102,-13.225,8/29/2002,2,-26.45,0.036593707,0.352941176,0.347811218,1,2,2,5,10,10,25,1.666666667,All Low,Class-1,Casino
1020,1011.703333,10/25/2004,18,18210.66,0.973837209,0.909712722,0.855848153,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1021,1137.166933,9/14/2004,9,10234.5024,0.977941176,0.790697674,0.783173735,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1022,-1.2,1/24/2002,2,-2.4,0.044630643,0.352941176,0.019322845,1,2,1,5,10,5,20,1.333333333,All Low,Class-1,Hotel & Casino
1024,408.5188,3/29/2004,15,6127.782,0.926983584,0.885601915,0.651333789,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Hotel & Casino
1026,45,4/10/2003,4,180,0.460157319,0.581395349,0.509233926,3,3,3,15,15,15,45,3,Moderate to High,Class-3,Casino
1027,384.969552,5/31/2004,25,9624.2388,0.920656635,0.941860465,0.688953488,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Hotel & Casino
1029,112.5544444,12/27/2004,9,1012.99,0.730506156,0.790697674,0.969733242,4,4,5,20,20,25,65,4.333333333,Regulars and High Values,Class-4,Casino
103,90.37,5/15/2003,8,722.96,0.675444596,0.763337893,0.518296854,4,4,3,20,20,15,55,3.666666667,Moderate to High,Class-3,Casino
1030,273.3544176,11/17/2004,17,4647.0251,0.889363885,0.902359781,0.889705882,5,5,5,25,25,25,75,5,All Highs,Class-5,Hotel & Casino
1032,51.57261667,9/26/2004,6,309.4357,0.498290014,0.689466484,0.81874145,3,4,5,15,20,25,60,4,Regulars and High Values,Class-4,Casino
1033,67.66,4/6/2002,1,67.66,0.587722298,0,0.11747606,3,1,1,15,5,5,25,1.666666667,All Low,Class-1,Casino
1034,53.0739,9/12/2004,8,424.5912,0.507865937,0.763337893,0.780608755,3,4,4,15,20,20,55,3.666666667,Moderate to High,Class-3,Hotel
1035,159.97,1/24/2003,4,639.88,0.80745554,0.581395349,0.494699042,5,3,3,25,15,15,55,3.666666667,Moderate to High,Class-3,Casino
1036,989.9434783,10/14/2004,23,22768.7,0.973324213,0.935704514,0.840116279,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1037,-125.5266667,8/23/2003,3,-376.58,0.0124829,0.497435021,0.553180575,1,3,3,5,15,15,35,2.333333333,All but little less freq,Class-2,Casino
1038,3115.19,12/8/2002,1,3115.19,0.991108071,0,0.4750342,5,1,3,25,5,15,45,3,Moderate to High,Class-3,Casino
1039,7.814,11/4/2004,5,39.07,0.149794802,0.642612859,0.869186047,1,4,5,5,20,25,50,3.333333333,Moderate to High,Class-3,Casino
104,86.67666667,11/18/2004,9,780.09,0.66125171,0.790697674,0.891928865,4,4,5,20,20,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1040,205.23368,7/5/2004,10,2052.3368,0.8500342,0.815492476,0.711525308,5,5,4,25,25,20,70,4.666666667,Regulars and High Values,Class-4,Hotel & Casino
1042,2.270983333,10/12/2004,6,13.6259,0.082250342,0.689466484,0.839090287,1,4,5,5,20,25,50,3.333333333,Moderate to High,Class-3,Casino
1043,172.78,8/6/2004,3,518.34,0.821990424,0.497435021,0.740937073,5,3,4,25,15,20,60,4,Regulars and High Values,Class-4,Casino
1044,4802.251923,1/3/2005,13,62429.275,0.994357045,0.862346101,0.995896033,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1045,246.0896875,12/12/2004,8,1968.7175,0.876025992,0.763337893,0.936559508,5,4,5,25,20,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1046,35.74133333,3/27/2004,15,536.12,0.40253078,0.885601915,0.649281806,3,5,4,15,25,20,60,4,Regulars and High Values,Class-4,Casino
1047,75.22916667,10/25/2004,12,902.75,0.619528044,0.850205198,0.855848153,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1048,-96.225,10/27/2002,2,-192.45,0.014021888,0.352941176,0.42869357,1,2,3,5,10,15,30,2,All but little less freq,Class-2,Hotel & Casino
105,20.858,9/26/2003,5,104.29,0.274623803,0.642612859,0.565834473,2,4,3,10,20,15,45,3,Moderate to High,Class-3,Casino
1050,1281.766667,2/25/2003,60,76906,0.979822161,0.983926129,0.499829001,5,5,3,25,25,15,65,4.333333333,Regulars and High Values,Class-4,Casino
1051,563.7533333,4/13/2004,6,3382.52,0.949726402,0.689466484,0.660225718,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1052,435.54,7/22/2002,1,435.54,0.933139535,0,0.274110807,5,1,2,25,5,10,40,2.666666667,All but little less freq,Class-2,Casino
1053,176.8350667,10/10/2004,3,530.5052,0.824384405,0.497435021,0.835499316,5,3,5,25,15,25,65,4.333333333,Regulars and High Values,Class-4,Hotel & Casino
1055,17.5,11/23/2002,1,17.5,0.245725034,0,0.460328317,2,1,3,10,5,15,30,2,All but little less freq,Class-2,Casino
1056,132.2666667,7/27/2003,3,396.8,0.769664843,0.497435021,0.542065663,4,3,3,20,15,15,50,3.333333333,Moderate to High,Class-3,Casino
1057,96.81477273,12/25/2004,88,8519.7,0.694425445,0.990766074,0.965458276,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1058,138.155,12/9/2003,2,276.31,0.778043776,0.352941176,0.594220246,4,2,3,20,10,15,45,3,Moderate to High,Class-3,Casino
1059,143.9737,10/15/2004,4,575.8948,0.787106703,0.581395349,0.842168263,4,3,5,20,15,25,60,4,Regulars and High Values,Class-4,Hotel & Casino
106,12.22,9/12/2004,3,36.66,0.189124487,0.497435021,0.780608755,1,3,4,5,15,20,40,2.666666667,All but little less freq,Class-2,Casino
1061,1612.598311,12/27/2003,9,14513.3848,0.984439124,0.790697674,0.600718194,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Hotel & Casino
1063,128.52,11/11/2002,1,128.52,0.762824897,0,0.448016416,4,1,3,20,5,15,40,2.666666667,All but little less freq,Class-2,Casino
1064,76.625,6/2/2002,2,153.25,0.624829001,0.352941176,0.191005472,4,2,1,20,10,5,35,2.333333333,All but little less freq,Class-2,Casino
1065,1443.95,10/27/2002,5,7219.75,0.983071135,0.642612859,0.42869357,5,4,3,25,20,15,60,4,Regulars and High Values,Class-4,Casino
1066,923.42,2/4/2002,1,923.42,0.969391245,0,0.030266758,5,1,1,25,5,5,35,2.333333333,All but little less freq,Class-2,Casino
1067,883.7675,8/19/2004,8,7070.14,0.967168263,0.763337893,0.753248974,5,4,4,25,20,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1068,-64.04,8/1/2002,2,-128.08,0.019664843,0.352941176,0.290355677,1,2,2,5,10,10,25,1.666666667,All Low,Class-1,Casino
1069,40.58777778,12/20/2004,63,2557.03,0.43245554,0.985123119,0.956737346,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
107,56.2225,5/26/2004,4,224.89,0.525478796,0.581395349,0.685875513,3,3,4,15,15,20,50,3.333333333,Moderate to High,Class-3,Casino
1070,32.7625,11/22/2004,12,393.15,0.378419973,0.850205198,0.898084815,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1071,7.375882353,11/30/2004,17,125.39,0.145861833,0.902359781,0.914329685,1,5,5,5,25,25,55,3.666666667,Moderate to High,Class-3,Casino
1072,67.59846154,10/30/2004,13,878.78,0.5875513,0.862346101,0.86371409,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1073,48.42842105,10/31/2004,19,920.14,0.483413133,0.91501368,0.864740082,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1074,8.253519553,12/19/2004,179,1477.38,0.153385773,0.996751026,0.953659371,1,5,5,5,25,25,55,3.666666667,Moderate to High,Class-3,Casino
1075,300.9411765,11/28/2004,17,5116,0.8999658,0.902359781,0.911080711,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1076,143.1735279,11/10/2004,61,8733.5852,0.786080711,0.984439124,0.877564979,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Hotel & Casino
1078,52.35411765,12/27/2004,68,3560.08,0.504616963,0.986491108,0.969733242,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1079,17.82595745,12/12/2004,94,1675.64,0.249829001,0.99127907,0.936559508,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
108,15.204,6/12/2002,2,30.408,0.216484268,0.352941176,0.207592339,2,2,2,10,10,10,30,2,All but little less freq,Class-2,Hotel & Casino
1080,-5.517058824,6/30/2004,51,-281.37,0.040868673,0.979309166,0.708447332,1,5,4,5,25,20,50,3.333333333,Moderate to High,Class-3,Casino
1081,5.365,6/17/2002,2,10.73,0.121409029,0.352941176,0.217852257,1,2,2,5,10,10,25,1.666666667,All Low,Class-1,Casino
1082,-19.54,3/26/2002,1,-19.54,0.033002736,0,0.097982216,1,1,1,5,5,5,15,1,All Low,Class-1,Casino
1083,62.51,11/3/2003,3,187.53,0.563098495,0.497435021,0.579343365,3,3,3,15,15,15,45,3,Moderate to High,Class-3,Casino
1084,29.52078947,12/26/2004,38,1121.79,0.3500342,0.969049248,0.96751026,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1085,43.2935,12/30/2004,100,4329.35,0.447332421,0.991963064,0.980848153,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1086,199.1106897,11/27/2004,29,5774.21,0.845930233,0.953830369,0.908515732,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1087,77.46692308,7/20/2004,13,1007.07,0.627222982,0.862346101,0.724350205,4,5,4,20,25,20,65,4.333333333,Regulars and High Values,Class-4,Casino
1088,17.770625,11/21/2004,16,284.33,0.249316005,0.895861833,0.895348837,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1089,23.31272727,11/18/2004,22,512.88,0.295656635,0.930232558,0.891928865,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1090,10.45,3/4/2004,6,62.7,0.170827633,0.689466484,0.635943912,1,4,4,5,20,20,45,3,Moderate to High,Class-3,Casino
1091,541.895,8/18/2002,2,1083.79,0.946990424,0.352941176,0.323529412,5,2,2,25,10,10,45,3,Moderate to High,Class-3,Casino
1092,6.271111111,11/13/2004,9,56.44,0.133036936,0.790697674,0.882181943,1,4,5,5,20,25,50,3.333333333,Moderate to High,Class-3,Casino
1093,21.93,5/5/2003,11,241.23,0.286593707,0.834131327,0.515218878,2,5,3,10,25,15,50,3.333333333,Moderate to High,Class-3,Casino
1094,58.40818182,1/22/2004,11,642.49,0.538474692,0.834131327,0.613030096,3,5,4,15,25,20,60,4,Regulars and High Values,Class-4,Casino
1095,26.8516129,10/30/2004,31,832.4,0.327804378,0.958447332,0.86371409,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1096,39.09062083,12/5/2004,48,1876.3498,0.421169631,0.976915185,0.92253762,3,5,5,15,25,25,65,4.333333333,Regulars and High Values,Class-4,Casino
1097,172.0245,12/5/2004,80,13761.96,0.820793434,0.989398085,0.92253762,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1098,484.3589286,12/4/2004,28,13562.05,0.940492476,0.950410397,0.920656635,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1099,102.5875806,12/30/2004,62,6360.43,0.708960328,0.984781122,0.980848153,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
