ID,Months,NoBought,Purchase
2001,30,0,0
2002,12,0,0
2003,18,0,0
2004,27,1,0
2005,4,1,0
2006,35,0,0
2007,4,0,0
2008,23,0,0
2009,10,0,0
2010,21,0,0
2011,27,0,0
2012,19,0,0
2013,30,0,0
2014,7,1,0
2015,15,1,0
2016,33,0,0
2017,7,0,0
2018,24,0,0
2019,14,0,0
2020,10,0,0
2021,12,0,0
2022,11,0,0
2023,5,2,0
2024,11,0,0
2025,16,1,0
2026,31,0,0
2027,14,0,0
2028,16,0,0
2029,22,0,0
2030,13,1,0
2031,14,0,0
2032,11,0,0
2033,30,0,0
2034,16,0,0
2035,12,1,0
2036,10,1,0
2037,31,1,0
2038,10,0,1
2039,16,1,0
2040,20,2,1
2041,16,0,0
2042,6,0,0
2043,15,2,0
2044,28,0,0
2045,11,0,0
2046,12,0,0
2047,13,0,0
2048,23,0,0
2049,11,0,0
2050,12,0,0
2051,26,0,0
2052,14,0,0
2053,11,0,0
2054,2,0,0
2055,6,0,0
2056,12,0,0
2057,8,0,0
2058,13,0,0
2059,7,0,0
2060,11,0,0
2061,35,3,0
2062,24,0,0
2063,1,1,0
2064,14,1,0
2065,10,0,0
2066,3,0,0
2067,13,0,0
2068,10,0,0
2069,18,0,0
2070,7,1,1
2071,14,0,0
2072,9,0,0
2073,12,1,0
2074,6,0,0
2075,9,0,0
2076,6,0,0
2077,5,1,0
2078,26,0,0
2079,13,0,0
2080,26,0,0
2081,14,0,0
2082,14,0,0
2083,25,0,0
2084,1,1,1
2085,13,0,0
2086,6,0,0
2087,12,0,0
2088,13,0,0
2089,12,1,0
2090,2,1,1
2091,7,1,0
2092,8,0,0
2093,34,0,0
2094,12,0,0
2095,9,1,0
2096,9,2,0
2097,12,0,0
2098,32,0,0
2099,15,1,1
2100,5,0,1
2101,16,1,0
2102,13,0,1
2103,5,0,0
2104,12,0,0
2105,10,0,1
2106,3,0,0
2107,6,0,0
2108,16,0,0
2109,8,0,0
2110,3,1,0
2111,21,0,0
2112,30,0,1
2113,11,0,0
2114,35,0,0
2115,10,0,0
2116,4,1,0
2117,3,0,1
2118,23,1,0
2119,13,1,0
2120,26,0,0
2121,16,1,0
2122,14,2,0
2123,12,0,0
2124,35,0,0
2125,7,0,0
2126,1,0,0
2127,31,0,0
2128,13,1,0
2129,12,2,0
2130,14,0,0
2131,16,0,0
2132,23,1,0
2133,9,0,0
2134,16,1,0
2135,16,0,0
2136,16,0,0
2137,3,0,0
2138,16,1,0
2139,9,3,0
2140,29,0,0
2141,17,0,0
2142,5,0,0
2143,14,0,0
2144,5,0,0
2145,9,0,0
2146,10,1,1
2147,4,0,0
2148,31,0,0
2149,11,0,0
2150,23,0,0
2151,24,0,0
2152,13,0,1
2153,13,1,1
2154,5,0,0
2155,16,0,0
2156,14,0,0
2157,12,0,1
2158,25,0,0
2159,28,0,0
2160,19,0,0
2161,16,1,0
2162,12,0,0
2163,4,3,1
2164,11,0,0
2165,13,0,0
2166,3,1,0
2167,13,1,0
2168,4,0,0
2169,6,0,0
2170,11,0,0
2171,7,0,0
2172,3,0,0
2173,8,1,1
2174,29,0,0
2175,5,0,0
2176,15,0,0
2177,14,0,0
2178,2,2,1
2179,14,1,0
2180,14,0,0
2181,12,1,0
2182,13,0,0
2183,11,0,0
2184,5,3,1
2185,10,0,0
2186,28,1,0
2187,13,0,0
2188,16,1,0
2189,19,1,0
2190,10,0,0
2191,9,0,0
2192,2,0,0
2193,14,0,0
2194,9,1,0
2195,14,0,0
2196,9,3,1
2197,8,0,0
2198,10,0,0
2199,29,0,0
2200,26,0,0
2201,23,1,0
2202,5,0,0
2203,3,0,0
2204,14,1,0
2205,2,2,0
2206,33,1,0
2207,15,0,0
2208,35,1,0
2209,16,1,0
2210,7,1,0
2211,4,1,0
2212,17,0,0
2213,16,1,0
2214,17,0,0
2215,13,0,0
2216,8,0,0
2217,10,0,0
2218,22,0,0
2219,16,2,0
2220,13,0,0
2221,9,0,0
2222,2,2,0
2223,12,1,0
2224,13,2,0
2225,5,0,0
2226,26,0,0
2227,11,0,0
2228,16,0,0
2229,17,0,0
2230,9,3,0
2231,27,3,0
2232,4,0,0
2233,7,0,0
2234,15,1,0
2235,32,0,0
2236,9,2,0
2237,2,2,0
2238,9,0,0
2239,13,0,0
2240,26,0,0
2241,3,0,0
2242,16,0,0
2243,24,0,0
2244,15,0,0
2245,12,0,0
2246,29,0,0
2247,25,0,0
2248,16,0,0
2249,26,1,0
2250,10,0,0
2251,10,1,0
2252,7,0,0
2253,10,0,0
2254,10,0,0
2255,7,0,0
2256,14,0,0
2257,6,0,0
2258,12,1,0
2259,14,2,0
2260,16,1,1
2261,3,0,1
2262,11,0,0
2263,3,1,0
2264,12,0,0
2265,4,0,0
2266,2,1,0
2267,2,0,0
2268,13,2,1
2269,5,0,0
2270,10,1,0
2271,22,0,0
2272,14,0,0
2273,9,0,0
2274,15,1,0
2275,7,1,0
2276,24,1,0
2277,24,0,0
2278,23,0,0
2279,8,0,0
2280,33,0,0
2281,11,0,1
2282,11,0,0
2283,14,1,0
2284,4,1,1
2285,1,0,0
2286,35,1,0
2287,23,0,0
2288,16,0,0
2289,5,0,0
2290,15,2,0
2291,15,0,0
2292,1,1,1
2293,11,0,0
2294,8,0,0
2295,7,1,0
2296,5,0,0
2297,6,0,0
2298,35,0,0
2299,22,0,0
2300,1,1,1
2301,10,1,1
2302,15,0,0
2303,15,0,0
2304,16,0,0
2305,31,0,0
2306,11,1,0
2307,26,1,0
2308,15,1,0
2309,3,0,0
2310,7,0,0
2311,7,0,0
2312,33,0,0
2313,16,1,1
2314,4,0,0
2315,6,0,0
2316,15,1,1
2317,9,0,0
2318,19,0,0
2319,24,0,1
2320,23,1,0
2321,14,0,0
2322,10,0,0
2323,6,0,0
2324,7,0,0
2325,30,0,0
2326,10,0,0
2327,19,0,0
2328,9,0,0
2329,11,0,0
2330,6,0,0
2331,13,0,0
2332,12,0,0
2333,8,1,0
2334,1,0,1
2335,8,0,0
2336,8,0,0
2337,15,0,0
2338,12,0,0
2339,13,1,0
2340,19,0,0
2341,10,1,0
2342,9,1,0
2343,9,0,0
2344,16,0,0
2345,9,1,0
2346,16,1,0
2347,13,1,0
2348,15,1,0
2349,9,0,0
2350,12,0,0
2351,10,0,0
2352,8,1,0
2353,10,0,0
2354,22,1,0
2355,1,0,1
2356,35,0,0
2357,12,0,0
2358,15,0,0
2359,22,2,0
2360,3,0,0
2361,8,0,0
2362,25,0,0
2363,14,0,0
2364,12,0,0
2365,12,0,0
2366,10,1,0
2367,1,0,0
2368,16,0,0
2369,1,0,0
2370,31,0,0
2371,8,0,0
2372,11,0,0
2373,3,0,0
2374,1,0,0
2375,12,1,0
2376,33,0,0
2377,2,0,0
2378,7,0,0
2379,16,0,0
2380,5,1,0
2381,8,0,0
2382,9,0,0
2383,15,0,0
2384,6,1,0
2385,9,0,0
2386,28,1,1
2387,14,0,0
2388,22,0,0
2389,31,0,0
2390,25,1,0
2391,16,0,0
2392,14,0,0
2393,10,0,0
2394,34,1,0
2395,2,1,0
2396,23,0,0
2397,7,0,0
2398,29,1,0
2399,18,0,0
2400,10,1,0
2401,13,0,0
2402,14,0,0
2403,15,0,0
2404,34,0,0
2405,12,0,0
2406,4,0,0
2407,11,0,0
2408,11,0,0
2409,7,1,0
2410,8,0,0
2411,34,0,0
2412,16,0,0
2413,7,0,0
2414,6,0,0
2415,6,0,0
2416,11,0,0
2417,17,0,0
2418,27,0,0
2419,12,0,0
2420,15,0,0
2421,15,0,0
2422,12,0,0
2423,30,0,0
2424,5,0,0
2425,3,2,0
2426,19,0,0
2427,21,0,0
2428,14,0,0
2429,15,1,0
2430,15,0,0
2431,1,0,0
2432,17,0,0
2433,13,0,0
2434,12,2,0
2435,5,1,0
2436,1,2,1
2437,26,0,0
2438,2,0,0
2439,7,0,0
2440,28,1,0
2441,32,1,0
2442,15,0,0
2443,4,0,0
2444,18,0,0
2445,16,0,0
2446,13,0,0
2447,7,0,0
2448,9,0,0
2449,15,0,0
2450,13,1,0
2451,8,1,0
2452,25,0,0
2453,2,2,1
2454,6,0,0
2455,23,0,0
2456,1,1,0
2457,8,0,0
2458,1,0,0
2459,13,0,0
2460,13,0,0
2461,8,0,0
2462,10,1,0
2463,13,0,0
2464,5,0,0
2465,13,0,0
2466,1,1,0
2467,7,0,0
2468,12,1,0
2469,29,0,0
2470,1,0,0
2471,35,0,0
2472,2,1,0
2473,8,0,0
2474,11,1,0
2475,6,0,0
2476,9,1,0
2477,1,0,0
2478,10,0,0
2479,10,0,0
2480,9,1,0
2481,16,1,0
2482,31,1,0
2483,7,1,1
2484,13,0,0
2485,16,0,0
2486,30,0,1
2487,4,0,0
2488,18,0,0
2489,10,0,0
2490,4,0,0
2491,8,0,0
2492,26,0,0
2493,15,1,0
2494,10,0,0
2495,14,0,0
2496,6,0,0
2497,13,2,0
2498,3,0,0
2499,8,1,0
2500,2,0,0
2501,7,0,0
2502,3,2,1
2503,20,0,0
2504,4,0,0
2505,25,1,0
2506,14,0,0
2507,16,1,0
2508,6,0,0
2509,6,0,0
2510,13,1,0
2511,13,1,0
2512,5,0,1
2513,11,0,0
2514,10,0,0
2515,34,0,0
2516,6,1,0
2517,11,0,0
2518,26,2,0
2519,17,2,0
2520,8,0,0
2521,30,0,0
2522,2,0,0
2523,25,0,0
2524,12,1,0
2525,8,0,0
2526,5,0,0
2527,6,2,1
2528,34,0,0
2529,11,0,0
2530,13,0,0
2531,18,1,0
2532,9,0,1
2533,8,0,0
2534,9,0,0
2535,7,0,0
2536,7,0,0
2537,15,0,0
2538,14,0,0
2539,3,1,0
2540,21,0,0
2541,15,0,0
2542,5,1,0
2543,14,0,0
2544,14,0,1
2545,7,0,0
2546,4,0,0
2547,14,0,0
2548,13,0,0
2549,4,1,0
2550,4,0,0
2551,32,0,0
2552,8,0,0
2553,31,0,0
