no,visit,income,travel,vacation,hsize,age,amount
1,1,50.2,5,8,3,43,2
2,1,70.3,6,7,4,61,3
3,1,62.9,7,5,6,52,3
4,1,48.5,7,5,5,36,1
5,1,52.7,6,6,4,55,3
6,1,75,8,7,5,68,3
7,1,46.2,5,3,3,62,2
8,1,57,2,4,6,51,2
9,1,64.1,7,5,4,57,3
10,1,68.1,7,6,5,45,3
11,1,73.4,6,7,5,44,3
12,1,71.9,5,8,4,64,3
13,1,56.2,1,8,6,54,2
14,1,49.3,4,2,3,56,3
15,1,62,5,6,2,58,3
16,2,32.1,5,4,3,58,1
17,2,36.2,4,3,2,55,1
18,2,43.2,2,5,2,57,2
19,2,50.4,5,2,4,37,2
20,2,44.1,6,6,3,42,2
21,2,38.3,6,6,2,45,1
22,2,55,1,2,2,57,2
23,2,46.1,3,5,3,51,1
24,2,35,6,4,5,64,1
25,2,37.3,2,7,4,54,1
26,2,41.8,5,1,3,56,2
27,2,57,8,3,2,36,2
28,2,33.4,6,8,2,50,1
29,2,37.5,3,2,3,48,1
30,2,41.3,3,3,2,42,1
