X,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @maheshcse: Attitude that determines your Altitude. Liked it much @DjokerNole. https://t.co/PbcOiWC1U1,FALSE,0,NA,7/9/2016 14:54,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",dhruvbhim,1,TRUE,FALSE,NA,NA
2,RT @RealHughJackman: Sensational night at the @usopen. W @TheBorisBecker watching @DjokerNole advance to the next round. https://t.co/fkDya…,FALSE,0,NA,7/9/2016 14:52,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KimLachance5,314,TRUE,FALSE,NA,NA
3,RT @RealHughJackman: Sensational night at the @usopen. W @TheBorisBecker watching @DjokerNole advance to the next round. https://t.co/fkDya…,FALSE,0,NA,7/9/2016 14:51,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ranmah,314,TRUE,FALSE,NA,NA
4,RT @RealHughJackman: Sensational night at the @usopen. W @TheBorisBecker watching @DjokerNole advance to the next round. https://t.co/fkDya…,FALSE,0,NA,7/9/2016 14:51,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",seanbailey15,314,TRUE,FALSE,NA,NA
5,"RT @tennistonic: @DjokerNole team already working on next opponent #USOpen #blackmagic 

@monfils advised

https://t.co/zIg3zTJJ2n https://…",FALSE,0,NA,7/9/2016 14:51,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",abhi_sn,11,TRUE,FALSE,NA,NA
6,"RT @DjokerNole: Not too bad for a 22m old, ha?<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Tennis on TV, massage... Life is good! Love this little man so much! https://t.co/RFmOZ5wlxv",FALSE,0,NA,7/9/2016 14:50,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilazarevic,992,TRUE,FALSE,NA,NA
7,"RT @tennistonic: @DjokerNole team already working on next opponent #USOpen #blackmagic 

@monfils advised

https://t.co/zIg3zTJJ2n https://…",FALSE,0,NA,7/9/2016 14:49,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abhishekmadan,11,TRUE,FALSE,NA,NA
8,"@RealHughJackman: ""Sensational night at the @usopen. W @TheBorisBecker watching @DjokerNole…"" #1 in #Australia https://t.co/bWN6Q8Jt35",FALSE,0,RealHughJackman,7/9/2016 14:48,FALSE,7.73E+17,7.74E+17,27042513,"<a href=""http://www.toprt.com"" rel=""nofollow"">TopRT.com</a>",TopRT_AU,0,FALSE,FALSE,NA,NA
9,RT @RealHughJackman: Sensational night at the @usopen. W @TheBorisBecker watching @DjokerNole advance to the next round. https://t.co/fkDya…,FALSE,0,NA,7/9/2016 14:48,FALSE,NA,7.74E+17,NA,"<a href=""http://www.toprt.com"" rel=""nofollow"">TopRT.com</a>",TopRT_AU,314,TRUE,FALSE,NA,NA
10,"RT @DjokerNole: Not too bad for a 22m old, ha?<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Tennis on TV, massage... Life is good! Love this little man so much! https://t.co/RFmOZ5wlxv",FALSE,0,NA,7/9/2016 14:48,FALSE,NA,7.74E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shamie902,992,TRUE,FALSE,NA,NA
